iter	Passed	Remaining
0	59	59158
1	59	29774
2	60	19970
3	60	15066
4	60	12121
5	61	10267
6	62	8843
7	62	7782
8	63	6954
9	63	6287
10	63	5741
11	64	5286
12	64	4907
13	65	4584
14	65	4305
15	65	4052
16	66	3831
17	66	3637
18	67	3462
19	67	3303
20	67	3162
21	68	3032
22	68	2914
23	68	2803
24	69	2700
25	69	2606
26	70	2522
27	70	2442
28	70	2366
29	71	2296
30	71	2229
31	71	2167
32	72	2109
33	72	2056
34	72	2007
35	73	1959
36	73	1912
37	73	1870
38	74	1828
39	74	1790
40	74	1753
41	75	1717
42	75	1684
43	76	1653
44	76	1623
45	76	1594
46	77	1567
47	77	1539
48	77	1513
49	78	1487
50	78	1462
51	78	1438
52	79	1418
53	79	1398
54	80	1380
55	80	1359
56	81	1340
57	81	1321
58	81	1302
59	82	1285
60	82	1268
61	82	1252
62	83	1236
63	83	1222
64	83	1207
65	84	1192
66	84	1178
67	84	1162
68	85	1148
69	85	1135
70	85	1121
71	86	1109
72	86	1097
73	86	1085
74	87	1075
75	87	1064
76	87	1052
77	88	1042
78	88	1033
79	88	1022
80	89	1012
81	89	1003
82	90	996
83	90	986
84	90	975
85	90	966
86	91	955
87	91	947
88	91	939
89	92	931
90	92	924
91	92	916
92	93	908
93	93	901
94	93	894
95	94	887
96	94	880
97	94	873
98	95	866
99	96	866
100	96	860
101	96	851
102	97	846
103	97	839
104	97	833
105	98	827
106	98	821
107	98	815
108	99	811
109	99	805
110	99	799
111	100	795
112	100	789
113	101	785
114	101	780
115	101	774
116	101	769
117	102	764
118	102	758
119	102	753
120	103	748
121	103	744
122	103	738
123	103	734
124	104	730
125	104	725
126	105	722
127	105	716
128	105	712
129	105	708
130	106	704
131	106	700
132	106	696
133	107	692
134	107	688
135	107	684
136	108	680
137	108	677
138	108	673
139	109	670
140	109	666
141	109	662
142	110	659
143	110	656
144	110	653
145	111	649
146	111	646
147	111	643
148	112	640
149	112	637
150	112	634
151	113	631
152	113	628
153	113	625
154	114	622
155	114	619
156	114	616
157	115	613
158	115	610
159	115	607
160	115	604
161	116	602
162	116	599
163	117	596
164	117	593
165	117	591
166	118	588
167	118	585
168	118	583
169	118	580
170	119	578
171	119	576
172	120	573
173	120	571
174	120	569
175	121	567
176	121	564
177	121	561
178	121	559
179	122	557
180	122	553
181	122	551
182	122	549
183	123	546
184	123	544
185	123	542
186	124	540
187	124	538
188	124	536
189	125	534
190	125	532
191	126	531
192	126	529
193	126	527
194	127	524
195	127	522
196	127	521
197	128	519
198	128	518
199	129	516
200	129	514
201	129	512
202	130	510
203	130	508
204	130	507
205	131	505
206	131	503
